C_env,C_air,R_rc,R_oe,R_er,RMSE,Action_total,Energy,Penalty,Exceedance,Action_total_online,Energy_online,Penalty_online,Exceedance_online
3279696.39,328860.773,0.01121727,0.04235755,0.0053772,0.898904936,1908.614764892578,321.68384,803.0,361.5582766767459,2877.2998046875,512.65966796875,37.0,16.89514665946802
6643188.44,206904.936,0.0011661,0.0253625,0.00671781,2.482078075,2749.170185913086,459.7194,524.5,343.84259968397345,2731.875732421875,617.9214477539062,170.5,184.71730283075263
1116271.18,616660.7320000001,0.01186058,0.0310389,0.0040829,1.414750343,2363.638940551758,434.14154,207.5,26.54987230902733,2888.222412109375,487.5536193847656,19.0,5.246294113023296
4972446.98,413087.486,0.00401893,0.02677905,0.00604223,1.214310625,1959.573165649414,330.03418,732.0,356.33848917720866,2343.9443359375,520.6734008789062,174.5,331.541951980953
1828500.3,459918.179,0.00348677,0.01323403,0.00287377,0.8239443390000001,3688.8915579833983,934.69775,546.5,782.3477733604793,3105.0263671875,1460.22900390625,370.5,716.2545121170606
2605674.98,441518.083,0.00985954,0.05575096,0.00266432,1.412819829,2739.4109770507807,510.98495,62.5,11.532973239450062,2726.056640625,562.4984130859375,34.0,17.86293722180018
2013764.6,480382.96200000006,0.00811833,0.02844319,0.00362004,0.488668226,2245.4823465576173,390.8799,32.5,1.6672896419176713,2914.593505859375,517.2601928710938,18.5,1.8418363882460724
6239142.82,452999.684,0.00643666,0.0306072,0.00296925,0.672834099,2471.0572919921874,419.15713999999997,8.0,0.4633202784669024,2570.525634765625,460.37200927734375,29.5,4.718512816114179
7481650.02,651124.2370000001,0.01047016,0.01590059,0.00466797,2.885804678,2221.130657714844,458.9876,394.5,140.16925494616115,2842.302490234375,554.707763671875,55.5,20.587579545867683
5953446.04,116704.726,0.00763162,0.04479289,0.00190057,1.18987995,3277.980355224609,555.27057,171.0,82.175697796847,2867.800048828125,490.4806823730469,30.5,7.717890542559802
1542181.07,199403.028,0.00897051,0.03432654,0.00281605,0.74417086,2503.914537353516,422.47472999999997,1.5,0.13589649992011846,2431.54931640625,460.63409423828125,23.0,5.922329855325055
4278432.67,235029.224,0.01308596,0.03575733,0.0069738,1.631949553,1572.8232413330081,283.7518,997.0,857.4015128041577,2501.377685546875,498.6579895019531,66.5,68.05215369204574
3933230.02,384432.372,0.00322555,0.03799737,0.00404716,1.880065199,2518.728380493164,418.13846,96.5,23.42707715121779,2472.180419921875,441.56072998046875,40.5,13.567198124040344
3794327.69,487828.449,0.01190901,0.0205934,0.00581212,2.148177971,1971.747612915039,358.27686,680.0,256.09434392128793,2695.114013671875,562.5587158203125,56.0,111.03032132104121
1674398.43,569218.618,0.00384762,0.02306758,0.00337376,0.988641164,2360.8030222167968,509.04742000000005,17.0,6.766233193621223,2649.706298828125,499.74053955078125,33.0,18.68112193895227
5083224.57,497865.298,0.00916617,0.03860202,0.00037304,1.671927071,2720.976902465821,2788.3882,967.0,1203.0481962128215,3036.6416015625,584.4580078125,73.0,34.40308798789561
5219066.15,634096.917,0.00818242,0.06441355,0.00630892,1.985813651,2205.8634357910155,401.51373,821.5,287.038897960037,2729.989013671875,477.00006103515625,53.5,27.812093251693856
1329156.27,667441.613,0.00222908,0.01845885,0.00371193,1.55283031,8000.0,1265.882,1163.5,6829.563201954162,7990.70703125,1268.934326171875,1163.5,6817.018188693641
7914789.89,922638.489,0.00187988,0.016346100000000002,0.00225421,1.788177051,3930.0259788818357,1039.6821,720.0,1208.347366928758,2639.087646484375,710.8876953125,211.0,229.08624434203608
4022246.94,221841.902,0.00375583,0.04050387,0.00465781,1.829303031,2161.725988647461,360.5616,705.0,223.96742853456828,2593.509765625,440.7543640136719,18.5,3.4999688174786954
2229590.72,294023.048,0.00138195,0.04658182,0.00317967,2.6108851630000003,1691.555581176758,587.02185,1029.0,910.5107377167952,2605.622314453125,482.7690734863281,42.0,43.75969351171776
5662737.4,215805.77,0.0137359,0.02146141,0.00440146,2.713809239,2226.9070659179692,415.12656,203.0,35.46252249418715,2672.439697265625,579.772216796875,21.5,4.548730211897157
4355667.92,558524.97,0.00215637,0.01455948,0.00232455,1.422199801,8000.0,1265.882,1163.5,6829.563201954162,7991.94189453125,1264.614501953125,1163.5,6817.804778361835
6139171.83,183425.246,0.00657719,0.07038281,0.00255707,2.194808898,2321.0300017089844,423.13995,451.5,210.6219741885176,2789.528076171875,494.9631652832031,24.0,7.2250443783551255
2842856.36,396211.932,0.00453825,0.03657854,0.00297983,1.422944965,2491.8666782226564,419.13583,3.0,0.4192610730771591,2941.534423828125,527.6297607421875,24.0,5.75475572166188
5491261.73,555392.542,0.00721335,0.00371475,0.00306097,7.143321742,5393.218069580078,1908.5397,899.5,2073.9823842866144,2425.87841796875,1975.5032958984375,800.0,1570.4655383445722
