lb,ub,Qsg,Tout,Tair_true,u_true
22.0,24.0,637.7928161,25.799999999999997,22.99291055383233,-396.58517
22.0,24.0,598.4283241,26.5,22.996728324061436,-458.07233
22.0,24.0,603.7678876,26.799999999999997,23.00077918520013,-498.13766
22.0,24.0,591.0822006,27.200000000000003,23.029817551268664,-507.9095
22.0,24.0,635.2402779,27.299999999999997,23.09520050214633,-520.876
22.0,24.0,566.4009333,27.400000000000006,23.167674947792687,-542.3227
22.0,24.0,505.16476330000006,27.200000000000003,23.199551522084978,-565.9689
22.0,24.0,410.6284184,27.099999999999994,23.203587700029267,-577.30597
22.0,24.0,400.6730685,26.599999999999994,23.19440921085824,-577.149
22.0,24.0,254.94076680000003,26.099999999999994,23.199560745017852,-583.0912
22.0,24.0,221.85252240000003,25.099999999999994,23.153207243878978,-571.4729
22.0,24.0,102.9867147,24.099999999999994,23.12325400401534,-544.9244
22.0,24.0,168.16952,22.700000000000003,23.08381893216699,-521.51074
22.0,24.0,60.94621952,21.299999999999997,23.062959756561263,-372.09387
22.0,24.0,100.748281,21.299999999999997,23.0002306778038,-338.8208
22.0,24.0,20.434762850000002,18.299999999999997,22.9769242847608,-264.2348
22.0,24.0,10.65311344,17.200000000000003,22.989426153546727,-210.16498
22.0,24.0,4.1003381,16.0,22.980480127234863,-153.87338
15.0,28.0,0.0,15.399999999999999,22.975916478064065,-144.09839
15.0,28.0,0.0,14.799999999999997,22.907869246358125,-917.88745
15.0,28.0,0.0,14.5,21.64357852938791,-652.2009
15.0,28.0,0.0,14.100000000000001,21.726745884240714,-541.89307
15.0,28.0,0.0,13.899999999999999,21.766339398183398,-481.0435
15.0,28.0,0.0,13.600000000000001,21.74813960930361,-400.5417
15.0,28.0,0.0,13.200000000000003,21.7674673277843,-380.68295
15.0,28.0,0.0,12.899999999999999,21.713562896843023,-354.41403
15.0,28.0,0.0,12.5,21.66733979668788,-337.59152
15.0,28.0,0.0,12.200000000000003,21.61371631319048,-325.11328
15.0,28.0,0.0,11.899999999999991,21.557381750105634,-318.00134
15.0,28.0,0.0,11.600000000000001,21.49663698607776,-310.33258
15.0,28.0,0.0,11.299999999999997,21.43930315700601,-303.09448
15.0,28.0,0.0,11.0,21.384603165395628,-296.18887
15.0,28.0,0.0,10.700000000000003,21.332346559372862,-289.59174
15.0,28.0,0.0,10.5,21.282324676200652,-283.2767
15.0,28.0,0.0,10.399999999999999,21.23487303025122,-277.28616
15.0,28.0,0.0,10.200000000000003,21.19051495688593,-271.6862
15.0,28.0,2.145,11.200000000000003,21.14866697615974,-266.40308
15.0,28.0,64.12887319,12.200000000000003,21.115769176430568,1024.0936
22.0,24.0,25.575,13.399999999999999,23.066517949029965,744.5813
22.0,24.0,115.3798774,14.600000000000001,23.01627648817613,630.3413
22.0,24.0,58.56735122,15.799999999999997,22.986452520462805,573.5953
22.0,24.0,172.7271834,17.1,23.00868754593007,376.14
22.0,24.0,121.61667179999999,18.0,23.049949149949356,302.99982
22.0,24.0,326.3605193,19.0,23.052637561428735,175.51248
22.0,24.0,318.3817948,19.799999999999997,23.0182950652905,110.63248
22.0,24.0,502.835609,20.700000000000003,23.038663329404223,-14.197968
22.0,24.0,527.0519262,21.4,23.014801312321268,-108.63803
22.0,24.0,638.5913125,22.200000000000003,23.005298485300916,-215.16876
22.0,24.0,658.9123948,22.9,22.992090630806473,-294.79065
22.0,24.0,697.2725063999999,23.6,22.999072057478607,-385.19376
22.0,24.0,681.4563208999999,24.099999999999994,22.987028603524855,-445.2447
22.0,24.0,642.4392002000001,24.599999999999994,22.995981201637697,-499.61746
22.0,24.0,637.7336903,24.900000000000006,22.994974136402053,-502.0079
22.0,24.0,585.9585331000001,25.299999999999997,23.063105765929464,-517.09674
22.0,24.0,564.1478081,25.5,23.103185010042367,-526.67126
22.0,24.0,427.37067429999996,25.700000000000003,23.142098373503096,-553.4265
22.0,24.0,404.5248898,25.700000000000003,23.115369832440024,-551.7721
22.0,24.0,253.80814339999998,25.799999999999997,23.12322067596986,-558.00653
22.0,24.0,241.41899390000003,25.599999999999994,23.082940506664382,-545.68964
22.0,24.0,121.59039950000002,25.400000000000006,23.072195798412817,-523.6475
22.0,24.0,111.02979640000001,25.099999999999994,23.0490344575965,-510.89084
22.0,24.0,49.5,24.700000000000003,23.01970080405424,-374.44623
22.0,24.0,84.07869119,24.700000000000003,22.965794956743256,-353.65417
22.0,24.0,16.5,22.5,22.94838590268327,-294.37738
22.0,24.0,19.43577404,21.4,22.96688966672395,-258.49127
22.0,24.0,12.69591984,20.299999999999997,22.960283161639396,-223.73886
15.0,28.0,0.0,19.900000000000006,22.947777724685785,-205.75017
15.0,28.0,0.0,19.6,22.910278584108035,-1006.03284
15.0,28.0,0.0,19.39999999999999,21.630409483694294,-697.77924
15.0,28.0,0.0,19.299999999999997,21.794235718235598,-673.5822
15.0,28.0,0.0,19.1,21.735706833639643,-530.5007
15.0,28.0,0.0,19.0,21.84333038771002,-483.07565
15.0,28.0,0.0,18.700000000000003,21.849015653348278,-442.405
15.0,28.0,0.0,18.4,21.843185533840682,-394.02164
15.0,28.0,0.0,18.200000000000003,21.855633736114008,-390.68008
15.0,28.0,0.0,17.9,21.810422531913268,-372.12466
15.0,28.0,0.0,17.700000000000003,21.783911906325848,-363.73215
15.0,28.0,0.0,17.5,21.748060970847423,-345.62817
15.0,28.0,0.0,17.400000000000006,21.72863035902477,-339.62064
15.0,28.0,0.0,17.299999999999997,21.696929086905623,-335.6185
15.0,28.0,0.0,17.200000000000003,21.663485970357254,-331.39648
15.0,28.0,0.0,17.1,21.632384507742614,-327.47006
15.0,28.0,0.0,17.1,21.603168610456734,-323.7817
15.0,28.0,0.0,17.200000000000003,21.576219990520652,-320.37955
15.0,28.0,1.32,17.9,21.552086629291622,-317.33286
15.0,28.0,35.15155489,18.6,21.534241876539774,662.2604
22.0,24.0,52.11890201,19.39999999999999,23.01882302588796,475.27283
22.0,24.0,103.17058859999999,20.200000000000003,23.03507547656963,375.10004
22.0,24.0,118.2119072,21.299999999999997,23.007456326290544,291.3034
22.0,24.0,215.51185919999998,22.400000000000006,22.986751045372227,120.43054
22.0,24.0,206.5466754,24.0,23.04769773654875,44.18112
22.0,24.0,311.3110626,25.599999999999994,23.052294190076154,-58.171295
22.0,24.0,325.63914869999996,26.700000000000003,23.034837548527207,-143.67831
22.0,24.0,435.52913,27.799999999999997,23.024524347974037,-251.05823
22.0,24.0,454.5937732,28.400000000000006,22.999815436780885,-327.8161
22.0,24.0,580.4206376,29.0,23.000327746790347,-418.52045
22.0,24.0,619.7803922999999,29.400000000000006,23.001997351053067,-484.62967
22.0,24.0,663.7260124,29.799999999999997,23.02598557588628,-503.40536
22.0,24.0,674.8781293999999,30.0,23.119773335562606,-527.00244
22.0,24.0,671.7087303,30.200000000000003,23.205591372095014,-558.441
22.0,24.0,665.6367001,30.200000000000003,23.267871977437345,-584.9996
22.0,24.0,586.1941687999999,30.299999999999997,23.32297541247076,-621.8476
22.0,24.0,572.1824811,30.299999999999997,23.331071501990778,-638.08325
22.0,24.0,454.8860944,30.299999999999997,23.357859369463576,-658.05145
22.0,24.0,414.3494852,30.200000000000003,23.343949555609058,-655.24475
22.0,24.0,199.232742,30.099999999999994,23.352308208760856,-628.87683
22.0,24.0,261.67007590000003,30.0,23.3414269227829,-639.86975
22.0,24.0,114.34581429999999,29.900000000000006,23.30870001851502,-623.6704
22.0,24.0,115.26994380000001,29.5,23.269128583359652,-613.6937
22.0,24.0,50.47379171,29.099999999999994,23.232828290597617,-552.92194
22.0,24.0,9.822621031,29.099999999999994,23.059927793668336,-506.978
22.0,24.0,7.7539003410000005,26.900000000000006,23.034032380464694,-461.35638
22.0,24.0,4.883980219,26.0,23.025587329111765,-428.93802
22.0,24.0,3.351779879,25.200000000000003,22.999324001437785,-387.75247
15.0,28.0,0.0,24.5,22.987191625980802,-376.83624
15.0,28.0,0.0,23.700000000000003,22.934502063528,-387.0835
15.0,28.0,0.0,23.0,22.845515918999922,-1134.2842
